RESPOND_ID,EXAMIN_BEGIN_DE,SEXDSTN_FLAG_CD,AGRDE_FLAG_NM,ANSWRR_OC_AREA_NM,HSHLD_INCOME_DGREE_NM,CLTUR_ART_VIEWNG_INTRST_DGREE_VALUE,CLTUR_ART_ACT_INTRST_DGREE_VALUE,SPORTS_VIEWNG_INTRST_DGREE_VALUE,SPORTS_ACT_INTRST_DGREE_VALUE,TURSM_TOUR_INTRST_DGREE_VALUE,RCRT_REST_INTRST_DGREE_VALUE,SELF_IMPT_SELF_MANAGE_INTRST_DGREE_VALUE,SCT_EXCHG_INTRST_DGREE_VALUE
434,20211103,M,50대,서울특별시,700만원 이상,조금 작아졌다,조금 작아졌다,비슷하다,조금 작아졌다,조금 작아졌다,조금 커졌다,조금 커졌다,비슷하다
1207,20211103,M,50대,경기도,300이상500만원 미만,비슷하다,조금 작아졌다,조금 커졌다,조금 커졌다,조금 커졌다,비슷하다,조금 커졌다,조금 작아졌다
2813,20211103,M,60대,충청남도,500이상700만원 미만,비슷하다,조금 작아졌다,조금 작아졌다,조금 작아졌다,조금 작아졌다,조금 작아졌다,비슷하다,비슷하다
5144,20211103,F,50대,세종특별자치시,700만원 이상,매우 작아졌다,매우 작아졌다,매우 작아졌다,매우 작아졌다,매우 작아졌다,조금 작아졌다,매우 작아졌다,매우 작아졌다
5986,20211103,M,60대,충청북도,500이상700만원 미만,비슷하다,비슷하다,조금 커졌다,비슷하다,조금 커졌다,비슷하다,비슷하다,비슷하다
7351,20211103,M,30대,전라남도,300만원 미만,매우 커졌다,매우 커졌다,조금 커졌다,조금 커졌다,조금 커졌다,비슷하다,조금 커졌다,비슷하다
9143,20211103,F,30대,경상북도,500이상700만원 미만,조금 작아졌다,조금 작아졌다,조금 작아졌다,조금 작아졌다,조금 커졌다,조금 커졌다,조금 커졌다,조금 작아졌다
9879,20211103,F,40대,인천광역시,700만원 이상,비슷하다,비슷하다,비슷하다,비슷하다,비슷하다,비슷하다,비슷하다,비슷하다
10378,20211103,F,60대,광주광역시,300만원 미만,조금 작아졌다,비슷하다,비슷하다,비슷하다,비슷하다,비슷하다,조금 커졌다,조금 작아졌다
10812,20211103,M,50대,부산광역시,700만원 이상,비슷하다,비슷하다,비슷하다,조금 커졌다,비슷하다,비슷하다,비슷하다,비슷하다
11110,20211103,M,60대,강원도,700만원 이상,매우 커졌다,매우 커졌다,조금 커졌다,조금 커졌다,조금 커졌다,비슷하다,비슷하다,비슷하다
13732,20211103,M,60대,경기도,300이상500만원 미만,비슷하다,비슷하다,비슷하다,조금 커졌다,매우 커졌다,조금 커졌다,비슷하다,비슷하다
14814,20211103,F,40대,부산광역시,300이상500만원 미만,조금 커졌다,조금 커졌다,비슷하다,조금 커졌다,조금 커졌다,매우 커졌다,매우 커졌다,매우 커졌다
15541,20211103,F,50대,대구광역시,300만원 미만,비슷하다,비슷하다,비슷하다,조금 커졌다,비슷하다,비슷하다,비슷하다,비슷하다
17043,20211103,M,40대,경상남도,300이상500만원 미만,매우 작아졌다,매우 작아졌다,조금 작아졌다,비슷하다,매우 작아졌다,매우 커졌다,매우 작아졌다,매우 작아졌다
17722,20211103,M,40대,전라북도,300만원 미만,매우 작아졌다,매우 작아졌다,매우 작아졌다,매우 작아졌다,매우 작아졌다,매우 작아졌다,조금 작아졌다,매우 작아졌다
19390,20211103,F,40대,울산광역시,500이상700만원 미만,비슷하다,조금 커졌다,비슷하다,조금 커졌다,조금 커졌다,조금 커졌다,조금 커졌다,비슷하다
21538,20211103,M,40대,경상북도,300만원 미만,조금 커졌다,조금 작아졌다,매우 작아졌다,매우 작아졌다,조금 커졌다,매우 커졌다,조금 커졌다,매우 작아졌다
25697,20211103,F,40대,대전광역시,300만원 미만,비슷하다,비슷하다,비슷하다,조금 커졌다,조금 작아졌다,조금 작아졌다,비슷하다,조금 커졌다
27576,20211103,F,50대,서울특별시,700만원 이상,조금 작아졌다,비슷하다,조금 작아졌다,조금 커졌다,조금 작아졌다,조금 작아졌다,비슷하다,조금 작아졌다
28300,20211103,M,60대,충청남도,300이상500만원 미만,조금 작아졌다,비슷하다,조금 커졌다,조금 커졌다,조금 커졌다,비슷하다,조금 작아졌다,조금 커졌다
28665,20211103,F,60대,대전광역시,300이상500만원 미만,비슷하다,비슷하다,조금 작아졌다,비슷하다,비슷하다,비슷하다,비슷하다,비슷하다
35014,20211103,F,50대,부산광역시,300만원 미만,조금 작아졌다,비슷하다,비슷하다,비슷하다,비슷하다,비슷하다,조금 커졌다,비슷하다
35837,20211103,M,50대,인천광역시,300이상500만원 미만,조금 커졌다,조금 커졌다,조금 커졌다,조금 커졌다,비슷하다,조금 커졌다,비슷하다,비슷하다
36104,20211103,F,30대,전라북도,500이상700만원 미만,비슷하다,비슷하다,비슷하다,비슷하다,조금 작아졌다,비슷하다,비슷하다,조금 작아졌다
37301,20211103,F,60대,대구광역시,500이상700만원 미만,조금 커졌다,조금 커졌다,비슷하다,비슷하다,조금 커졌다,매우 커졌다,비슷하다,비슷하다
38801,20211103,F,40대,대전광역시,500이상700만원 미만,비슷하다,조금 커졌다,비슷하다,조금 커졌다,조금 커졌다,조금 커졌다,매우 커졌다,조금 작아졌다
40732,20211103,F,40대,세종특별자치시,300이상500만원 미만,조금 작아졌다,비슷하다,비슷하다,매우 작아졌다,비슷하다,조금 커졌다,조금 커졌다,비슷하다
41323,20211103,F,30대,광주광역시,500이상700만원 미만,비슷하다,비슷하다,비슷하다,비슷하다,비슷하다,비슷하다,비슷하다,비슷하다
42339,20211103,F,30대,서울특별시,300이상500만원 미만,조금 작아졌다,매우 작아졌다,조금 작아졌다,매우 작아졌다,조금 작아졌다,비슷하다,비슷하다,조금 작아졌다
42734,20211103,M,50대,인천광역시,700만원 이상,비슷하다,비슷하다,조금 커졌다,조금 커졌다,매우 커졌다,비슷하다,조금 커졌다,비슷하다
43602,20211103,F,60대,서울특별시,700만원 이상,비슷하다,비슷하다,비슷하다,비슷하다,조금 커졌다,조금 커졌다,조금 커졌다,조금 커졌다
43752,20211103,M,30대,경기도,300만원 미만,비슷하다,비슷하다,비슷하다,비슷하다,비슷하다,비슷하다,비슷하다,비슷하다
44210,20211103,M,30대,전라북도,무응답,조금 작아졌다,비슷하다,조금 커졌다,조금 작아졌다,매우 작아졌다,조금 커졌다,비슷하다,매우 작아졌다
46854,20211103,F,50대,부산광역시,300만원 미만,조금 커졌다,조금 커졌다,조금 작아졌다,비슷하다,조금 커졌다,조금 커졌다,조금 커졌다,조금 커졌다
47280,20211103,F,50대,경상남도,300만원 미만,비슷하다,비슷하다,비슷하다,조금 커졌다,비슷하다,조금 커졌다,비슷하다,비슷하다
48065,20211103,F,30대,강원도,500이상700만원 미만,매우 커졌다,매우 커졌다,조금 커졌다,조금 커졌다,조금 커졌다,조금 커졌다,조금 커졌다,비슷하다
49627,20211103,M,40대,부산광역시,300이상500만원 미만,비슷하다,비슷하다,비슷하다,매우 커졌다,조금 작아졌다,조금 커졌다,비슷하다,비슷하다
53744,20211103,F,60대,충청남도,300이상500만원 미만,조금 작아졌다,비슷하다,조금 커졌다,매우 커졌다,매우 작아졌다,매우 작아졌다,매우 작아졌다,매우 작아졌다
54146,20211103,F,40대,서울특별시,500이상700만원 미만,조금 커졌다,비슷하다,조금 커졌다,조금 커졌다,조금 작아졌다,비슷하다,비슷하다,조금 커졌다
54346,20211103,F,60대,인천광역시,700만원 이상,매우 작아졌다,매우 작아졌다,비슷하다,비슷하다,비슷하다,비슷하다,비슷하다,비슷하다
57318,20211103,M,60대,강원도,300이상500만원 미만,비슷하다,조금 작아졌다,조금 작아졌다,조금 작아졌다,비슷하다,조금 커졌다,비슷하다,매우 작아졌다
60224,20211103,M,60대,서울특별시,300만원 미만,조금 커졌다,비슷하다,비슷하다,조금 커졌다,조금 커졌다,조금 커졌다,비슷하다,조금 작아졌다
62567,20211103,F,40대,경기도,무응답,조금 작아졌다,조금 작아졌다,매우 작아졌다,매우 작아졌다,매우 작아졌다,조금 작아졌다,비슷하다,매우 작아졌다
65812,20211103,M,50대,충청남도,500이상700만원 미만,비슷하다,비슷하다,비슷하다,조금 커졌다,조금 커졌다,조금 커졌다,조금 커졌다,비슷하다
67671,20211103,F,60대,서울특별시,700만원 이상,조금 작아졌다,조금 작아졌다,조금 작아졌다,조금 작아졌다,조금 작아졌다,조금 커졌다,비슷하다,조금 작아졌다
69226,20211103,F,50대,경기도,700만원 이상,매우 작아졌다,조금 작아졌다,조금 커졌다,조금 커졌다,매우 작아졌다,비슷하다,비슷하다,비슷하다
73659,20211103,M,50대,울산광역시,700만원 이상,조금 커졌다,조금 커졌다,조금 커졌다,조금 커졌다,비슷하다,비슷하다,비슷하다,비슷하다
73790,20211103,M,50대,충청남도,300이상500만원 미만,비슷하다,비슷하다,비슷하다,비슷하다,비슷하다,비슷하다,비슷하다,비슷하다
80412,20211103,F,60대,인천광역시,300이상500만원 미만,조금 커졌다,비슷하다,비슷하다,조금 커졌다,매우 커졌다,비슷하다,조금 커졌다,매우 커졌다
83166,20211103,M,40대,세종특별자치시,700만원 이상,조금 커졌다,비슷하다,비슷하다,조금 커졌다,조금 커졌다,조금 커졌다,비슷하다,조금 커졌다
93637,20211103,M,60대,경기도,700만원 이상,비슷하다,조금 작아졌다,조금 커졌다,조금 커졌다,조금 커졌다,비슷하다,비슷하다,비슷하다
93731,20211103,M,60대,광주광역시,300만원 미만,비슷하다,비슷하다,비슷하다,비슷하다,조금 작아졌다,비슷하다,비슷하다,비슷하다
96984,20211103,M,30대,대구광역시,무응답,조금 커졌다,비슷하다,비슷하다,비슷하다,비슷하다,조금 커졌다,조금 커졌다,비슷하다
105290,20211103,F,30대,경기도,700만원 이상,매우 작아졌다,조금 작아졌다,매우 작아졌다,매우 작아졌다,조금 커졌다,조금 커졌다,조금 작아졌다,조금 작아졌다
106504,20211103,M,40대,대구광역시,300이상500만원 미만,비슷하다,비슷하다,조금 작아졌다,매우 작아졌다,비슷하다,조금 커졌다,비슷하다,비슷하다
108790,20211103,F,30대,부산광역시,500이상700만원 미만,비슷하다,조금 작아졌다,매우 작아졌다,조금 작아졌다,매우 작아졌다,조금 커졌다,비슷하다,매우 작아졌다
109713,20211103,M,30대,경기도,500이상700만원 미만,매우 작아졌다,매우 작아졌다,매우 작아졌다,매우 작아졌다,매우 작아졌다,매우 커졌다,비슷하다,조금 작아졌다
109837,20211103,M,50대,부산광역시,700만원 이상,비슷하다,비슷하다,조금 커졌다,조금 커졌다,조금 커졌다,조금 커졌다,비슷하다,비슷하다
112830,20211103,F,30대,경상남도,300만원 미만,비슷하다,비슷하다,비슷하다,비슷하다,비슷하다,비슷하다,비슷하다,비슷하다
113557,20211103,F,30대,경상북도,300이상500만원 미만,매우 작아졌다,매우 작아졌다,매우 작아졌다,조금 작아졌다,매우 작아졌다,비슷하다,비슷하다,매우 작아졌다
114621,20211103,F,50대,대전광역시,300이상500만원 미만,조금 작아졌다,조금 작아졌다,조금 작아졌다,조금 커졌다,조금 작아졌다,비슷하다,비슷하다,조금 작아졌다
114966,20211103,F,30대,대구광역시,700만원 이상,조금 작아졌다,조금 작아졌다,조금 작아졌다,조금 작아졌다,조금 커졌다,비슷하다,비슷하다,비슷하다
117118,20211103,M,60대,서울특별시,300만원 미만,비슷하다,비슷하다,비슷하다,비슷하다,비슷하다,비슷하다,조금 커졌다,비슷하다
