RESPOND_ID,EXAMIN_BEGIN_DE,SEXDSTN_FLAG_CD,AGRDE_FLAG_NM,ANSWRR_OC_AREA_NM,HSHLD_INCOME_DGREE_NM,CLTUR_ART_VIEWNG_INTRST_DGREE_VALUE,CLTUR_ART_ACT_INTRST_DGREE_VALUE,SPORTS_VIEWNG_INTRST_DGREE_VALUE,SPORTS_ACT_INTRST_DGREE_VALUE,TURSM_TOUR_INTRST_DGREE_VALUE,RCRT_REST_INTRST_DGREE_VALUE,SELF_IMPT_SELF_MANAGE_INTRST_DGREE_VALUE,SCT_EXCHG_INTRST_DGREE_VALUE
197003,20231108,M,20대,서울특별시,300이상500만원 미만,비슷하다,매우 작아졌다,비슷하다,매우 작아졌다,매우 작아졌다,조금 작아졌다,조금 커졌다,조금 작아졌다
337589,20231108,M,20대,서울특별시,500이상700만원 미만,조금 커졌다,비슷하다,조금 커졌다,조금 커졌다,매우 커졌다,비슷하다,비슷하다,비슷하다
349700,20231108,M,20대,전라남도,700만원 이상,매우 커졌다,조금 커졌다,조금 커졌다,조금 작아졌다,조금 커졌다,매우 커졌다,조금 커졌다,비슷하다
366181,20231108,M,20대,서울특별시,500이상700만원 미만,비슷하다,비슷하다,매우 작아졌다,조금 커졌다,조금 커졌다,비슷하다,조금 커졌다,조금 커졌다
368740,20231108,M,20대,서울특별시,300이상500만원 미만,조금 커졌다,비슷하다,비슷하다,조금 커졌다,조금 커졌다,비슷하다,조금 커졌다,비슷하다
369464,20231108,M,20대,충청남도,300만원 미만,조금 커졌다,조금 작아졌다,조금 작아졌다,조금 작아졌다,매우 커졌다,조금 커졌다,조금 커졌다,조금 커졌다
369661,20231108,M,20대,경기도,300이상500만원 미만,비슷하다,조금 커졌다,비슷하다,비슷하다,비슷하다,조금 커졌다,조금 커졌다,비슷하다
381818,20231108,M,20대,전라북도,300이상500만원 미만,매우 커졌다,비슷하다,조금 커졌다,매우 커졌다,비슷하다,매우 커졌다,매우 커졌다,조금 커졌다
422095,20231108,M,20대,서울특별시,300이상500만원 미만,비슷하다,비슷하다,비슷하다,비슷하다,비슷하다,비슷하다,비슷하다,비슷하다
422345,20231108,M,20대,서울특별시,700만원 이상,비슷하다,비슷하다,조금 커졌다,조금 커졌다,조금 커졌다,매우 커졌다,매우 커졌다,비슷하다
425564,20231108,M,20대,대구광역시,300이상500만원 미만,비슷하다,비슷하다,비슷하다,비슷하다,비슷하다,비슷하다,비슷하다,비슷하다
426604,20231108,M,20대,대전광역시,500이상700만원 미만,비슷하다,비슷하다,비슷하다,비슷하다,조금 커졌다,비슷하다,조금 커졌다,비슷하다
429086,20231108,M,20대,대구광역시,700만원 이상,비슷하다,비슷하다,비슷하다,비슷하다,비슷하다,비슷하다,비슷하다,비슷하다
433486,20231108,M,20대,경기도,300이상500만원 미만,비슷하다,비슷하다,비슷하다,비슷하다,비슷하다,비슷하다,조금 커졌다,비슷하다
435483,20231108,M,20대,경기도,무응답,매우 커졌다,비슷하다,비슷하다,비슷하다,조금 커졌다,조금 커졌다,조금 커졌다,조금 커졌다
445957,20231108,M,20대,인천광역시,500이상700만원 미만,조금 커졌다,비슷하다,조금 커졌다,조금 작아졌다,비슷하다,조금 커졌다,조금 커졌다,조금 커졌다
446951,20231108,M,20대,대전광역시,300만원 미만,비슷하다,비슷하다,비슷하다,비슷하다,비슷하다,비슷하다,비슷하다,비슷하다
458943,20231108,M,20대,경기도,300만원 미만,조금 작아졌다,매우 작아졌다,조금 작아졌다,비슷하다,매우 작아졌다,매우 커졌다,조금 커졌다,조금 작아졌다
461535,20231108,M,20대,경기도,500이상700만원 미만,조금 작아졌다,조금 작아졌다,조금 작아졌다,조금 작아졌다,매우 작아졌다,조금 커졌다,매우 작아졌다,비슷하다
461986,20231108,M,20대,대전광역시,무응답,비슷하다,비슷하다,매우 커졌다,매우 커졌다,조금 커졌다,조금 커졌다,조금 커졌다,조금 커졌다
462061,20231108,M,20대,경기도,700만원 이상,조금 커졌다,매우 커졌다,조금 커졌다,매우 커졌다,매우 커졌다,조금 커졌다,조금 커졌다,조금 커졌다
463088,20231108,M,20대,서울특별시,700만원 이상,조금 커졌다,조금 커졌다,조금 커졌다,조금 커졌다,조금 커졌다,조금 커졌다,조금 커졌다,조금 커졌다
463998,20231108,M,20대,서울특별시,300이상500만원 미만,비슷하다,비슷하다,조금 작아졌다,매우 커졌다,매우 커졌다,비슷하다,조금 커졌다,조금 커졌다
464160,20231108,M,20대,부산광역시,300만원 미만,매우 커졌다,매우 커졌다,매우 커졌다,매우 커졌다,매우 커졌다,매우 커졌다,매우 커졌다,매우 커졌다
466726,20231108,M,20대,경기도,300이상500만원 미만,조금 커졌다,비슷하다,비슷하다,비슷하다,비슷하다,비슷하다,비슷하다,비슷하다
466952,20231108,M,20대,경기도,300이상500만원 미만,비슷하다,비슷하다,비슷하다,매우 커졌다,비슷하다,조금 커졌다,비슷하다,비슷하다
467666,20231108,M,20대,부산광역시,300만원 미만,조금 작아졌다,비슷하다,매우 작아졌다,매우 작아졌다,조금 커졌다,조금 커졌다,매우 작아졌다,매우 작아졌다
468266,20231108,M,20대,서울특별시,500이상700만원 미만,매우 커졌다,조금 커졌다,조금 커졌다,비슷하다,매우 커졌다,조금 커졌다,조금 커졌다,조금 커졌다
469561,20231108,M,20대,인천광역시,300만원 미만,비슷하다,비슷하다,조금 커졌다,조금 커졌다,비슷하다,비슷하다,비슷하다,비슷하다
469622,20231108,M,20대,경상북도,300이상500만원 미만,비슷하다,조금 작아졌다,매우 작아졌다,매우 작아졌다,조금 작아졌다,조금 커졌다,비슷하다,매우 작아졌다
469623,20231108,M,20대,충청북도,300이상500만원 미만,조금 작아졌다,매우 작아졌다,매우 커졌다,비슷하다,비슷하다,매우 커졌다,매우 작아졌다,매우 커졌다
469803,20231108,M,20대,서울특별시,500이상700만원 미만,조금 커졌다,비슷하다,조금 커졌다,조금 커졌다,조금 커졌다,매우 커졌다,조금 커졌다,비슷하다
469966,20231108,M,20대,서울특별시,300만원 미만,조금 커졌다,비슷하다,비슷하다,조금 커졌다,조금 커졌다,비슷하다,조금 커졌다,비슷하다
470161,20231108,M,20대,대전광역시,무응답,조금 커졌다,비슷하다,비슷하다,비슷하다,조금 커졌다,조금 작아졌다,조금 커졌다,비슷하다
470546,20231108,M,20대,전라북도,700만원 이상,비슷하다,비슷하다,비슷하다,비슷하다,비슷하다,비슷하다,비슷하다,비슷하다
471624,20231108,M,20대,인천광역시,무응답,비슷하다,비슷하다,비슷하다,비슷하다,비슷하다,비슷하다,비슷하다,비슷하다
471918,20231108,M,20대,경기도,500이상700만원 미만,비슷하다,비슷하다,비슷하다,비슷하다,조금 커졌다,비슷하다,조금 커졌다,비슷하다
472668,20231108,M,20대,충청북도,무응답,매우 커졌다,매우 커졌다,매우 커졌다,매우 커졌다,매우 커졌다,매우 커졌다,매우 커졌다,매우 커졌다
472879,20231108,M,20대,경기도,무응답,비슷하다,비슷하다,비슷하다,비슷하다,비슷하다,비슷하다,비슷하다,비슷하다
473026,20231108,M,20대,대전광역시,300만원 미만,비슷하다,조금 커졌다,조금 커졌다,비슷하다,비슷하다,비슷하다,조금 커졌다,조금 커졌다
473053,20231108,M,20대,서울특별시,300이상500만원 미만,조금 커졌다,매우 커졌다,조금 커졌다,조금 커졌다,매우 커졌다,매우 커졌다,조금 커졌다,조금 커졌다
53322175,20231108,F,20대,서울특별시,300이상500만원 미만,비슷하다,조금 커졌다,비슷하다,매우 커졌다,매우 커졌다,조금 작아졌다,매우 커졌다,조금 커졌다
53322248,20231108,M,30대,서울특별시,700만원 이상,조금 커졌다,비슷하다,비슷하다,조금 커졌다,조금 커졌다,조금 작아졌다,조금 커졌다,비슷하다
53322652,20231108,F,40대,경기도,300이상500만원 미만,매우 작아졌다,매우 작아졌다,매우 작아졌다,매우 작아졌다,비슷하다,비슷하다,비슷하다,비슷하다
53322657,20231108,M,60대,서울특별시,300만원 미만,조금 커졌다,조금 커졌다,비슷하다,비슷하다,비슷하다,비슷하다,조금 커졌다,비슷하다
53322726,20231108,F,40대,서울특별시,300만원 미만,비슷하다,비슷하다,비슷하다,비슷하다,비슷하다,비슷하다,비슷하다,비슷하다
53322735,20231108,M,40대,서울특별시,500이상700만원 미만,조금 커졌다,조금 작아졌다,비슷하다,조금 커졌다,조금 작아졌다,매우 커졌다,조금 커졌다,비슷하다
53322871,20231108,M,50대,서울특별시,700만원 이상,비슷하다,조금 작아졌다,조금 커졌다,조금 커졌다,비슷하다,비슷하다,비슷하다,조금 작아졌다
53323023,20231108,F,30대,서울특별시,300만원 미만,조금 커졌다,조금 커졌다,조금 커졌다,조금 커졌다,매우 커졌다,조금 커졌다,비슷하다,비슷하다
53323236,20231108,F,60대,서울특별시,500이상700만원 미만,비슷하다,조금 작아졌다,매우 커졌다,조금 작아졌다,비슷하다,비슷하다,비슷하다,조금 작아졌다
53323297,20231108,F,50대,서울특별시,700만원 이상,비슷하다,조금 작아졌다,비슷하다,조금 작아졌다,비슷하다,비슷하다,비슷하다,조금 작아졌다
53323353,20231108,F,60대,서울특별시,300이상500만원 미만,매우 작아졌다,매우 작아졌다,조금 작아졌다,조금 작아졌다,매우 작아졌다,조금 작아졌다,매우 작아졌다,비슷하다
53323442,20231108,F,60대,서울특별시,300이상500만원 미만,비슷하다,비슷하다,비슷하다,비슷하다,비슷하다,비슷하다,비슷하다,비슷하다
53323783,20231108,M,60대,서울특별시,500이상700만원 미만,조금 커졌다,비슷하다,비슷하다,비슷하다,비슷하다,비슷하다,조금 작아졌다,비슷하다
53323829,20231108,M,60대,서울특별시,700만원 이상,조금 커졌다,조금 작아졌다,조금 커졌다,조금 커졌다,조금 커졌다,비슷하다,조금 커졌다,비슷하다
53324006,20231108,M,60대,서울특별시,500이상700만원 미만,비슷하다,비슷하다,비슷하다,비슷하다,비슷하다,비슷하다,조금 커졌다,비슷하다
53324288,20231108,F,60대,서울특별시,300만원 미만,비슷하다,비슷하다,비슷하다,비슷하다,조금 작아졌다,비슷하다,비슷하다,비슷하다
53324319,20231108,F,20대,서울특별시,300만원 미만,조금 커졌다,조금 커졌다,조금 커졌다,조금 커졌다,조금 커졌다,조금 커졌다,조금 커졌다,비슷하다
53324439,20231108,F,30대,서울특별시,300이상500만원 미만,조금 작아졌다,조금 작아졌다,조금 작아졌다,비슷하다,조금 커졌다,조금 커졌다,조금 작아졌다,조금 작아졌다
53324445,20231108,F,30대,서울특별시,700만원 이상,매우 커졌다,매우 커졌다,비슷하다,조금 커졌다,매우 커졌다,조금 커졌다,조금 커졌다,조금 커졌다
53324674,20231108,M,40대,서울특별시,무응답,매우 작아졌다,매우 작아졌다,매우 작아졌다,비슷하다,조금 커졌다,조금 커졌다,비슷하다,조금 커졌다
53324944,20231108,F,40대,서울특별시,300이상500만원 미만,비슷하다,조금 커졌다,비슷하다,비슷하다,조금 커졌다,비슷하다,조금 커졌다,비슷하다
53325386,20231108,F,20대,서울특별시,700만원 이상,조금 커졌다,비슷하다,비슷하다,조금 커졌다,조금 커졌다,조금 커졌다,비슷하다,비슷하다
53325422,20231108,M,50대,경기도,300이상500만원 미만,비슷하다,비슷하다,비슷하다,비슷하다,비슷하다,조금 커졌다,비슷하다,매우 작아졌다
53325516,20231108,M,60대,인천광역시,700만원 이상,조금 커졌다,조금 커졌다,비슷하다,비슷하다,비슷하다,비슷하다,비슷하다,조금 커졌다
53325645,20231108,M,40대,서울특별시,700만원 이상,조금 작아졌다,비슷하다,비슷하다,조금 커졌다,비슷하다,비슷하다,비슷하다,비슷하다
53325697,20231108,F,30대,서울특별시,500이상700만원 미만,비슷하다,비슷하다,비슷하다,비슷하다,매우 작아졌다,조금 작아졌다,매우 작아졌다,조금 작아졌다
53325707,20231108,F,50대,부산광역시,300만원 미만,조금 작아졌다,조금 작아졌다,조금 커졌다,비슷하다,조금 커졌다,비슷하다,조금 작아졌다,비슷하다
53325882,20231108,M,40대,경기도,300이상500만원 미만,매우 작아졌다,매우 작아졌다,매우 작아졌다,비슷하다,비슷하다,매우 커졌다,비슷하다,매우 작아졌다
53326001,20231108,F,40대,강원도,무응답,조금 작아졌다,조금 작아졌다,조금 작아졌다,조금 작아졌다,조금 작아졌다,조금 작아졌다,조금 작아졌다,매우 작아졌다
53326291,20231108,F,30대,강원도,700만원 이상,조금 커졌다,비슷하다,매우 작아졌다,조금 작아졌다,조금 커졌다,매우 커졌다,매우 커졌다,비슷하다
53326330,20231108,M,40대,경기도,500이상700만원 미만,비슷하다,비슷하다,비슷하다,비슷하다,비슷하다,비슷하다,비슷하다,비슷하다
53326339,20231108,M,50대,경기도,300이상500만원 미만,조금 작아졌다,조금 작아졌다,비슷하다,조금 커졌다,비슷하다,비슷하다,조금 작아졌다,조금 커졌다
53326466,20231108,F,30대,부산광역시,700만원 이상,비슷하다,비슷하다,조금 커졌다,조금 커졌다,매우 커졌다,조금 커졌다,조금 커졌다,매우 커졌다
53326576,20231108,F,50대,경기도,700만원 이상,비슷하다,비슷하다,비슷하다,비슷하다,비슷하다,비슷하다,조금 작아졌다,매우 작아졌다
53327079,20231108,F,50대,대구광역시,300이상500만원 미만,비슷하다,비슷하다,비슷하다,조금 커졌다,조금 커졌다,조금 커졌다,비슷하다,조금 커졌다
53327332,20231108,M,30대,경상남도,300만원 미만,비슷하다,비슷하다,조금 커졌다,조금 커졌다,조금 커졌다,조금 커졌다,조금 커졌다,비슷하다
