RESPOND_ID,EXAMIN_BEGIN_DE,SEXDSTN_FLAG_CD,AGRDE_FLAG_NM,ANSWRR_OC_AREA_NM,HSHLD_INCOME_DGREE_NM,CLTUR_ART_VIEWNG_INTRST_DGREE_VALUE,CLTUR_ART_ACT_INTRST_DGREE_VALUE,SPORTS_VIEWNG_INTRST_DGREE_VALUE,SPORTS_ACT_INTRST_DGREE_VALUE,TURSM_TOUR_INTRST_DGREE_VALUE,RCRT_REST_INTRST_DGREE_VALUE,SELF_IMPT_SELF_MANAGE_INTRST_DGREE_VALUE,SCT_EXCHG_INTRST_DGREE_VALUE
"457924","20241106","F","20대","대구광역시","무응답","조금 커졌다","매우 커졌다","조금 작아졌다","매우 작아졌다","비슷하다","조금 커졌다","매우 커졌다","조금 작아졌다"
"459927","20241106","M","20대","제주특별자치도","무응답","조금 커졌다","조금 작아졌다","비슷하다","매우 작아졌다","비슷하다","조금 커졌다","비슷하다","비슷하다"
"460453","20241106","M","20대","서울특별시","무응답","비슷하다","비슷하다","조금 커졌다","비슷하다","비슷하다","조금 커졌다","비슷하다","조금 커졌다"
"460679","20241106","M","20대","서울특별시","500이상700만원 미만","매우 커졌다","조금 작아졌다","매우 커졌다","매우 작아졌다","조금 커졌다","매우 커졌다","비슷하다","매우 커졌다"
"462241","20241106","F","20대","경기도","300만원 미만","조금 커졌다","조금 커졌다","비슷하다","조금 커졌다","조금 커졌다","비슷하다","매우 커졌다","비슷하다"
"463752","20241106","F","20대","대전광역시","무응답","비슷하다","비슷하다","비슷하다","비슷하다","비슷하다","비슷하다","비슷하다","비슷하다"
"464151","20241106","M","20대","경기도","무응답","조금 커졌다","조금 커졌다","조금 커졌다","조금 커졌다","조금 커졌다","비슷하다","조금 커졌다","비슷하다"
"464152","20241106","M","20대","부산광역시","700만원 이상","비슷하다","비슷하다","비슷하다","조금 커졌다","조금 커졌다","조금 커졌다","비슷하다","조금 커졌다"
"465865","20241106","F","20대","경기도","무응답","매우 작아졌다","매우 작아졌다","매우 작아졌다","매우 작아졌다","조금 작아졌다","조금 작아졌다","비슷하다","조금 작아졌다"
"465960","20241106","F","20대","전라남도","무응답","비슷하다","비슷하다","비슷하다","비슷하다","비슷하다","비슷하다","비슷하다","비슷하다"
